Skills,Interests,CGPA,Experience,Career
REST APIs,Automation,2.98,Yes,QA Engineer
SQL,Backend Development,3.66,No,Backend Developer
Linux,Cyber Security,2.94,Yes,Cyber Security Analyst
SQL,Business Intelligence,3.29,No,Product Manager
Networking,Software Development,2.88,No,DevOps Engineer
Flutter,Mobile App Development,2.67,No,Flutter Developer
JavaScript,UI/UX Design,2.68,Yes,UI/UX Designer
Git,Cloud Computing,3.24,Yes,DevOps Engineer
Cloud Computing,Networking,3.65,Yes,Cloud Solutions Architect
Firebase,Web Development,3.87,No,Full Stack Developer
SQL,Web Development,2.75,No,QA Engineer
Java,Software Development,3.39,No,Mobile App Developer
Networking,Networking,3.9,Yes,Cloud Solutions Architect
Docker,Cyber Security,2.78,No,Network Engineer
React,Web Development,3.24,Yes,Full Stack Developer
Linux,Networking,3.2,Yes,System Administrator
SQL,DevOps,2.7,No,System Administrator
Python,Data Science,3.08,No,Data Scientist
Power BI,Software Development,3.44,Yes,Product Manager
SQL,Machine Learning,3.04,Yes,Machine Learning Engineer
Python,Networking,3.49,Yes,Network Engineer
Terraform,Cloud Computing,3.9,Yes,Cloud Solutions Architect
MySQL,Database Management,3.68,No,Backend Developer
Firebase,Software Development,3.18,Yes,Mobile App Developer
SQL,DevOps,2.97,Yes,Network Engineer
PyTorch,Data Science,3.67,Yes,Machine Learning Engineer
REST APIs,Mobile App Development,3.19,Yes,Flutter Developer
TensorFlow,Machine Learning,3.86,Yes,AI Engineer
Linux,Automation,3.0,Yes,QA Engineer
Data Analysis,Research,3.39,Yes,Business Analyst
Linux,Automation,3.22,Yes,Cloud Solutions Architect
Docker,Software Development,3.71,No,Backend Developer
Deep Learning,Artificial Intelligence,3.49,No,AI Engineer
SQL,Business Intelligence,2.87,Yes,Business Intelligence Analyst
Networking,DevOps,3.8,Yes,System Administrator
Linux,Cloud Computing,2.96,No,Cloud Engineer
PostgreSQL,Database Management,3.46,Yes,Backend Developer
Git,Automation,3.09,No,QA Engineer
Git,Automation,3.35,Yes,DevOps Engineer
Linux,Artificial Intelligence,3.43,No,Machine Learning Engineer
SQL,Data Science,3.84,Yes,Data Scientist
Python,Cyber Security,3.79,No,Network Engineer
AWS,Cyber Security,3.25,No,Network Engineer
AWS,Automation,2.92,Yes,Cloud Engineer
Power BI,Data Analytics,2.85,Yes,Business Analyst
CSS,UI/UX Design,3.63,Yes,UI/UX Designer
Data Analysis,Data Analytics,2.91,No,Business Intelligence Analyst
TensorFlow,Research,3.24,Yes,AI Engineer
Python,Data Analytics,2.91,Yes,Business Intelligence Analyst
HTML,Web Development,3.61,No,Full Stack Developer
TensorFlow,Artificial Intelligence,3.35,No,Data Scientist
Docker,Database Management,3.56,Yes,Database Administrator
Git,Research,3.26,No,Software Engineer
Git,Mobile App Development,3.58,Yes,Mobile App Developer
JavaScript,Automation,2.94,No,Software Engineer
TensorFlow,Data Science,3.45,No,Machine Learning Engineer
Python,Data Analytics,3.34,Yes,Data Analyst
Linux,Data Analytics,3.15,No,Database Administrator
Terraform,DevOps,2.93,Yes,Cloud Engineer
React,Mobile App Development,3.21,No,UI/UX Designer
Node.js,Web Development,3.52,Yes,Full Stack Developer
Linux,Networking,3.11,Yes,Network Engineer
Tableau,Data Science,3.18,Yes,Data Analyst
Oracle,Database Management,2.94,Yes,Database Administrator
Deep Learning,Machine Learning,3.36,No,AI Engineer
Pandas,Database Management,3.18,No,Database Administrator
Python,Data Analytics,3.65,No,Database Administrator
Figma,Software Development,3.26,No,Frontend Developer
Python,Data Analytics,3.02,Yes,Business Analyst
REST APIs,Software Development,3.39,Yes,QA Engineer
TensorFlow,Data Science,3.13,No,Machine Learning Engineer
Python,DevOps,3.78,Yes,Cloud Solutions Architect
SQL,Data Science,3.47,No,Data Analyst
Python,Data Science,3.12,No,Business Intelligence Analyst
UI/UX,UI/UX Design,3.19,No,UI/UX Designer
Figma,Software Development,3.62,Yes,Product Manager
Excel,Research,3.45,Yes,Business Analyst
Git,Business Intelligence,3.69,Yes,Product Manager
Networking,DevOps,2.95,Yes,Network Engineer
AWS,Software Development,3.4,No,DevOps Engineer
REST APIs,Software Development,2.77,No,Flutter Developer
Firebase,Software Development,3.08,Yes,Full Stack Developer
Python,Software Development,3.02,Yes,DevOps Engineer
Bash,Cloud Computing,2.6,Yes,System Administrator
Git,Software Development,2.87,Yes,Flutter Developer
Cyber Security,Cyber Security,3.48,Yes,Network Engineer
PyTorch,Automation,3.21,No,Machine Learning Engineer
Firebase,Software Development,2.87,No,Full Stack Developer
Networking,Cyber Security,3.15,No,Cyber Security Analyst
Photoshop,Mobile App Development,3.6,Yes,UI/UX Designer
Linux,Web Development,2.96,No,QA Engineer
Data Science,Research,3.42,Yes,Data Scientist
CSS,Software Development,3.16,No,Full Stack Developer
Linux,Web Development,3.59,No,QA Engineer
GitHub,DevOps,3.06,Yes,DevOps Engineer
Firebase,Mobile App Development,3.22,No,Flutter Developer
JavaScript,Web Development,3.51,Yes,QA Engineer
Data Science,Data Analytics,3.94,Yes,Data Analyst
Ethical Hacking,Cloud Computing,3.98,No,Cyber Security Analyst
AWS,Research,3.83,Yes,AI Engineer
Tableau,Data Analytics,3.69,No,Product Manager
Python,Research,3.39,No,AI Engineer
Python,Automation,3.01,No,System Administrator
Git,Software Development,3.81,Yes,Product Manager
Linux,Machine Learning,3.2,No,AI Engineer
Git,Web Development,3.18,Yes,Mobile App Developer
AWS,Machine Learning,3.85,No,Machine Learning Engineer
C++,Automation,2.82,No,Software Engineer
SQL,Data Analytics,3.87,No,Database Administrator
Excel,Business Intelligence,3.86,Yes,Business Analyst
SQL,UI/UX Design,3.06,No,Product Manager
REST APIs,Mobile App Development,3.48,Yes,Flutter Developer
Linux,Cloud Computing,3.77,No,Cloud Engineer
Python,Machine Learning,3.58,Yes,AI Engineer
Dart,Mobile App Development,2.99,Yes,Mobile App Developer
Linux,Cloud Computing,3.81,Yes,Cloud Engineer
Oracle,Database Management,3.44,Yes,Database Administrator
Flutter,Software Development,2.87,No,Flutter Developer
Tableau,UI/UX Design,3.73,No,Product Manager
Azure,Networking,3.79,No,Cloud Solutions Architect
Kubernetes,Cloud Computing,3.98,Yes,Cloud Solutions Architect
REST APIs,Software Development,3.74,No,Flutter Developer
CSS,Software Development,3.79,Yes,Frontend Developer
Deep Learning,Machine Learning,3.3,No,Machine Learning Engineer
Cyber Security,Networking,3.92,No,Cyber Security Analyst
Tableau,Research,3.68,Yes,Data Analyst
GitHub,Software Development,3.56,No,Software Engineer
Networking,Cloud Computing,3.12,Yes,Network Engineer
TypeScript,Software Development,2.75,No,Frontend Developer
Docker,Automation,3.76,Yes,System Administrator
Git,Cloud Computing,2.74,Yes,System Administrator
Excel,Business Intelligence,3.45,Yes,Business Intelligence Analyst
Networking,Cyber Security,3.43,Yes,Network Engineer
Python,Database Management,3.1,No,Database Administrator
Excel,Data Analytics,3.63,Yes,Business Analyst
Tableau,Research,3.21,Yes,Data Analyst
Excel,Data Analytics,3.43,No,Data Analyst
SQL,Web Development,2.73,Yes,QA Engineer
Machine Learning,Artificial Intelligence,3.33,No,Machine Learning Engineer
TensorFlow,Artificial Intelligence,3.37,No,Machine Learning Engineer
SQL,Web Development,3.17,No,QA Engineer
Git,Database Management,3.88,Yes,Backend Developer
Git,Research,3.44,Yes,AI Engineer
Figma,Web Development,3.43,Yes,Frontend Developer
PostgreSQL,Data Analytics,3.47,Yes,Business Intelligence Analyst
Linux,Software Development,2.96,No,DevOps Engineer
AWS,Research,3.57,No,Cyber Security Analyst
Git,Automation,2.83,Yes,Software Engineer
Azure,Automation,3.78,No,DevOps Engineer
Deep Learning,Data Science,3.56,No,Data Scientist
HTML,Web Development,3.34,Yes,UI/UX Designer
Figma,UI/UX Design,3.09,No,Product Manager
AWS,DevOps,2.86,Yes,System Administrator
Node.js,Web Development,2.71,No,Frontend Developer
Python,Data Analytics,2.92,No,Data Analyst
JavaScript,Mobile App Development,3.22,No,Flutter Developer
C++,Web Development,3.65,Yes,Software Engineer
AWS,Networking,3.62,Yes,Network Engineer
HTML,Web Development,3.07,Yes,Full Stack Developer
Azure,DevOps,3.68,Yes,Network Engineer
Figma,Software Development,3.85,Yes,Product Manager
Python,Data Analytics,3.99,No,Product Manager
Linux,DevOps,3.1,No,Network Engineer
Azure,Cyber Security,3.54,Yes,Network Engineer
MongoDB,Software Development,3.01,Yes,Database Administrator
Python,Research,3.98,No,Software Engineer
Dart,Software Development,3.39,No,Flutter Developer
Flutter,Software Development,3.39,No,Flutter Developer
Terraform,Automation,3.34,No,Cloud Solutions Architect
Git,Networking,2.89,Yes,System Administrator
Linux,Cloud Computing,3.68,Yes,Cyber Security Analyst
Photoshop,Mobile App Development,3.61,No,UI/UX Designer
Git,Automation,2.9,Yes,Cloud Engineer
Azure,Cloud Computing,2.97,Yes,Cloud Engineer
Power BI,Research,3.77,Yes,Business Analyst
MySQL,Research,2.85,Yes,Business Analyst
SQL,Web Development,3.26,Yes,Software Engineer
Data Analysis,Data Analytics,2.81,Yes,Business Analyst
Azure,Automation,3.81,No,Cloud Solutions Architect
Git,Automation,3.47,Yes,QA Engineer
Azure,Networking,2.94,Yes,Cloud Engineer
React,Mobile App Development,3.48,No,Mobile App Developer
Power BI,Data Analytics,3.07,Yes,Business Intelligence Analyst
Linux,Software Development,3.26,No,Database Administrator
SQL,Software Development,3.39,No,Backend Developer
Cyber Security,Cyber Security,3.2,No,Network Engineer
Python,Database Management,3.24,Yes,Backend Developer
SQL,Backend Development,3.1,Yes,Backend Developer
Docker,Web Development,3.44,No,QA Engineer
MongoDB,Web Development,3.34,Yes,Full Stack Developer
Data Science,Data Analytics,3.96,Yes,Data Analyst
SQL,Automation,3.38,Yes,QA Engineer
Networking,Networking,3.35,Yes,Cyber Security Analyst
SQL,Software Development,2.83,No,Software Engineer
Node.js,Web Development,3.55,Yes,Full Stack Developer
JavaScript,Software Development,3.01,Yes,Frontend Developer
Flutter,Software Development,3.59,Yes,Flutter Developer
Git,Mobile App Development,3.03,Yes,Mobile App Developer
CSS,Mobile App Development,3.46,No,UI/UX Designer
UI/UX,Mobile App Development,3.17,No,UI/UX Designer
Networking,Automation,2.63,Yes,System Administrator
Docker,Database Management,3.38,Yes,Database Administrator
SQL,Software Development,3.4,Yes,Product Manager
Kubernetes,Networking,3.72,Yes,Cloud Engineer
Machine Learning,Data Science,3.8,No,Data Scientist
Pandas,Data Analytics,2.94,Yes,Business Analyst
Docker,Cloud Computing,3.39,No,Cloud Engineer
MySQL,Business Intelligence,3.45,No,Business Analyst
Docker,Software Development,3.8,Yes,Database Administrator
Tableau,Business Intelligence,3.66,Yes,Business Intelligence Analyst
Figma,Data Analytics,3.97,Yes,Product Manager
Express.js,Database Management,2.99,Yes,Full Stack Developer
Networking,Cloud Computing,3.88,No,Cyber Security Analyst
Java,Research,2.84,No,Software Engineer
Java,Database Management,3.74,No,Backend Developer
Python,Database Management,3.38,Yes,Backend Developer
React,UI/UX Design,3.06,No,Frontend Developer
NumPy,Machine Learning,3.11,Yes,Data Scientist
Git,Software Development,3.67,No,DevOps Engineer
Power BI,Data Science,3.78,Yes,Business Intelligence Analyst
Git,Web Development,3.09,No,QA Engineer
AWS,Research,3.43,Yes,Cyber Security Analyst
Data Science,Artificial Intelligence,3.81,Yes,Data Scientist
Java,Automation,3.33,Yes,Software Engineer
JavaScript,Mobile App Development,2.78,No,Mobile App Developer
Pandas,Artificial Intelligence,3.1,No,Machine Learning Engineer
Docker,Research,3.49,No,Software Engineer
Docker,Robotics,3.47,No,AI Engineer
JavaScript,Automation,3.68,Yes,Software Engineer
Firebase,Mobile App Development,2.89,No,Flutter Developer
Figma,Software Development,3.15,Yes,Frontend Developer
MongoDB,Database Management,2.81,No,Database Administrator
Linux,Cyber Security,2.95,Yes,Cyber Security Analyst
HTML,UI/UX Design,3.44,No,UI/UX Designer
Cloud Computing,Networking,3.9,Yes,Cloud Engineer
SQL,Backend Development,3.77,No,Backend Developer
Git,Web Development,2.86,Yes,Frontend Developer
Linux,Cloud Computing,3.17,Yes,Cloud Engineer
Figma,UI/UX Design,3.31,Yes,Product Manager
MySQL,Data Analytics,3.74,No,Database Administrator
Selenium,Automation,2.98,No,QA Engineer
AWS,Networking,3.77,No,Cyber Security Analyst
Git,Machine Learning,3.39,No,AI Engineer
Python,Machine Learning,3.36,No,AI Engineer
Python,Software Development,3.41,Yes,Database Administrator
Kubernetes,Cloud Computing,3.91,No,Cloud Engineer
Power BI,Data Science,3.2,Yes,Business Intelligence Analyst
Data Analysis,Research,2.83,Yes,Business Analyst
Git,Artificial Intelligence,3.81,No,AI Engineer
JavaScript,Software Development,2.88,No,QA Engineer
Power BI,Business Intelligence,3.71,Yes,Business Intelligence Analyst
SQL,Automation,3.22,Yes,Machine Learning Engineer
Azure,Machine Learning,3.37,Yes,AI Engineer
Power BI,UI/UX Design,3.94,Yes,Product Manager
SQL,Software Development,2.75,No,QA Engineer
Git,Cloud Computing,3.94,Yes,Cyber Security Analyst
Python,Robotics,3.46,Yes,AI Engineer
Java,Software Development,3.13,No,Backend Developer
REST APIs,Web Development,2.8,Yes,QA Engineer
Kubernetes,Cloud Computing,2.92,Yes,DevOps Engineer
SQL,Research,3.45,Yes,Cyber Security Analyst
Excel,Research,3.86,Yes,Business Analyst
JavaScript,Database Management,3.47,Yes,Full Stack Developer
Docker,Cyber Security,2.93,Yes,Network Engineer
SQL,Networking,3.63,No,Cyber Security Analyst
UI/UX,Mobile App Development,3.1,No,UI/UX Designer
GitHub,Software Development,3.26,Yes,DevOps Engineer
CSS,Database Management,3.13,No,Full Stack Developer
Terraform,Cloud Computing,2.9,Yes,Cloud Engineer
HTML,Software Development,3.29,No,Full Stack Developer
Python,Automation,3.46,No,Machine Learning Engineer
PostgreSQL,Data Analytics,2.94,Yes,Data Analyst
Git,Database Management,2.71,No,Full Stack Developer
Machine Learning,Research,3.22,No,Data Scientist
PostgreSQL,Software Development,3.86,No,Backend Developer
Linux,Networking,3.27,Yes,System Administrator
Python,Research,3.35,No,Cyber Security Analyst
SQL,Research,3.59,Yes,Business Analyst
Data Science,Business Intelligence,3.12,Yes,Data Analyst
REST APIs,Research,3.3,Yes,Software Engineer
Python,Data Science,3.28,Yes,Data Analyst
Power BI,Data Analytics,3.59,Yes,Business Analyst
Power BI,Data Analytics,3.4,No,Business Intelligence Analyst
GitHub,Research,3.29,Yes,Software Engineer
SQL,Research,3.0,Yes,Data Analyst
Linux,Networking,3.77,No,Cyber Security Analyst
JavaScript,Web Development,2.76,No,Mobile App Developer
SQL,Software Development,3.69,No,QA Engineer
Deep Learning,Machine Learning,3.74,No,AI Engineer
Power BI,Data Analytics,3.61,No,Business Intelligence Analyst
Machine Learning,Machine Learning,3.44,No,AI Engineer
Java,Mobile App Development,3.08,No,Mobile App Developer
MySQL,Data Analytics,3.06,No,Business Analyst
Figma,Mobile App Development,2.99,No,UI/UX Designer
MongoDB,Web Development,2.78,Yes,Mobile App Developer
R,Data Science,3.75,Yes,Data Scientist
Cyber Security,Cyber Security,3.97,Yes,Cyber Security Analyst
Node.js,Software Development,3.64,No,Full Stack Developer
Express.js,Backend Development,2.87,Yes,Backend Developer
Dart,Software Development,2.66,No,Mobile App Developer
PostgreSQL,Data Analytics,3.87,Yes,Database Administrator
Networking,Automation,3.44,Yes,Cloud Solutions Architect
Linux,Web Development,3.47,Yes,Software Engineer
MySQL,Data Analytics,3.69,Yes,Business Intelligence Analyst
Git,UI/UX Design,3.54,No,Frontend Developer
SQL,Research,3.21,Yes,Software Engineer
SQL,Cloud Computing,3.14,Yes,Cyber Security Analyst
Networking,Networking,3.97,No,Cloud Engineer
AWS,Cloud Computing,3.21,Yes,Cloud Engineer
Python,Database Management,2.89,No,Backend Developer
REST APIs,Automation,3.34,No,QA Engineer
Networking,DevOps,3.06,No,System Administrator
Firebase,Web Development,2.88,No,Mobile App Developer
Git,Business Intelligence,3.78,No,Product Manager
Python,Machine Learning,3.6,No,AI Engineer
NumPy,Research,3.78,Yes,AI Engineer
Machine Learning,Automation,3.14,No,Machine Learning Engineer
Python,Machine Learning,3.68,No,Data Scientist
HTML,Mobile App Development,3.77,No,UI/UX Designer
Python,Artificial Intelligence,3.22,No,Machine Learning Engineer
Data Analysis,Business Intelligence,3.81,Yes,Business Analyst
Python,Database Management,2.88,No,Backend Developer
Kubernetes,Cloud Computing,3.02,No,Cloud Engineer
Kubernetes,Networking,3.81,No,Cloud Engineer
Tableau,Data Analytics,2.96,No,Business Analyst
Express.js,Backend Development,2.86,Yes,Backend Developer
REST APIs,Web Development,3.25,No,QA Engineer
MySQL,Business Intelligence,2.87,No,Data Analyst
Azure,Research,3.69,Yes,AI Engineer
GitHub,Software Development,2.85,Yes,DevOps Engineer
Git,Data Analytics,3.19,No,Product Manager
Ethical Hacking,Cloud Computing,3.03,No,Cyber Security Analyst
MongoDB,Software Development,3.0,No,Backend Developer
Python,Software Development,2.8,Yes,Software Engineer
SQL,DevOps,3.29,No,System Administrator
Docker,Cyber Security,2.91,No,Network Engineer
React,Software Development,3.71,No,Frontend Developer
Git,Research,2.95,No,Cyber Security Analyst
Cyber Security,Cloud Computing,3.2,No,Network Engineer
Linux,Software Development,3.14,No,DevOps Engineer
REST APIs,Mobile App Development,2.79,No,Flutter Developer
Adobe XD,Web Development,3.13,No,UI/UX Designer
Networking,Cloud Computing,3.17,Yes,Network Engineer
Java,Research,3.88,No,Software Engineer
Kubernetes,DevOps,2.63,Yes,System Administrator
Linux,Research,3.65,No,AI Engineer
MongoDB,Web Development,2.75,No,Full Stack Developer
GitHub,Research,3.73,Yes,Software Engineer
Azure,Cyber Security,2.87,No,Network Engineer
Git,Software Development,3.53,Yes,Product Manager
SQL,Data Analytics,2.87,No,Business Intelligence Analyst
Networking,Research,3.89,No,Cyber Security Analyst
UI/UX,Web Development,3.19,Yes,UI/UX Designer
Kubernetes,Automation,3.52,Yes,DevOps Engineer
AWS,Cloud Computing,3.58,No,Network Engineer
Azure,Cloud Computing,3.39,Yes,Cloud Engineer
Flutter,Software Development,3.67,Yes,Flutter Developer
AWS,Automation,3.74,Yes,Cloud Engineer
SQL,UI/UX Design,3.48,Yes,Product Manager
Tableau,Research,3.89,No,Business Analyst
Firebase,Database Management,2.89,No,Full Stack Developer
Pandas,Research,3.7,No,Data Scientist
Data Analysis,Data Analytics,3.23,Yes,Business Analyst
Bash,Automation,2.98,No,System Administrator
Python,Cloud Computing,3.64,Yes,Network Engineer
Flutter,Mobile App Development,2.7,No,Flutter Developer
PostgreSQL,Data Science,3.6,Yes,Data Analyst
MySQL,Database Management,3.46,Yes,Database Administrator
Node.js,Software Development,2.6,No,Frontend Developer
Terraform,Cloud Computing,3.26,No,Cloud Engineer
NumPy,Research,3.23,No,Data Scientist
PyTorch,Artificial Intelligence,3.98,No,AI Engineer
UI/UX,Web Development,3.41,Yes,UI/UX Designer
Power BI,Business Intelligence,3.38,Yes,Product Manager
Docker,Web Development,3.73,No,Full Stack Developer
Power BI,Business Intelligence,3.15,Yes,Business Intelligence Analyst
Adobe XD,Web Development,3.06,No,UI/UX Designer
Kubernetes,Networking,2.6,No,System Administrator
NumPy,Automation,3.61,No,Machine Learning Engineer
Git,Web Development,2.88,Yes,Mobile App Developer
JavaScript,UI/UX Design,2.72,No,UI/UX Designer
Git,Cyber Security,3.83,No,Cyber Security Analyst
React,Mobile App Development,3.47,No,UI/UX Designer
JavaScript,Database Management,3.71,Yes,Full Stack Developer
Docker,Networking,3.38,Yes,Cloud Engineer
Flutter,Mobile App Development,3.33,No,Flutter Developer
Figma,UI/UX Design,2.83,No,Frontend Developer
Figma,Business Intelligence,3.77,Yes,Product Manager
SQL,Business Intelligence,3.0,Yes,Business Intelligence Analyst
Flutter,Software Development,3.25,No,Flutter Developer
MySQL,Research,2.82,Yes,Data Analyst
Node.js,Software Development,3.0,Yes,Full Stack Developer
Python,DevOps,3.46,No,System Administrator
Cyber Security,Cloud Computing,3.29,No,Cyber Security Analyst
PyTorch,Artificial Intelligence,3.5,No,AI Engineer
Bash,Automation,2.65,No,System Administrator
PyTorch,Artificial Intelligence,3.55,No,AI Engineer
Selenium,Automation,2.95,Yes,QA Engineer
SQL,Business Intelligence,2.97,No,Data Analyst
Git,Software Development,3.76,Yes,Software Engineer
Next.js,Web Development,3.55,No,Frontend Developer
SQL,Software Development,2.88,No,Backend Developer
Flutter,Mobile App Development,3.17,No,Flutter Developer
SQL,Business Intelligence,3.7,Yes,Product Manager
Git,Web Development,3.41,Yes,QA Engineer
Excel,Data Analytics,3.72,No,Business Intelligence Analyst
AWS,Automation,3.85,No,Cloud Solutions Architect
Python,Software Development,3.07,Yes,Software Engineer
JavaScript,UI/UX Design,3.4,Yes,UI/UX Designer
Excel,Data Science,2.97,No,Business Intelligence Analyst
Flutter,Mobile App Development,2.83,Yes,Flutter Developer
Data Analysis,Business Intelligence,3.1,No,Business Intelligence Analyst
PostgreSQL,Research,3.7,Yes,Data Analyst
Figma,Data Analytics,3.54,Yes,Product Manager
Linux,Software Development,3.79,No,DevOps Engineer
SQL,Cloud Computing,2.78,Yes,System Administrator
Dart,Software Development,3.06,Yes,Flutter Developer
Pandas,Business Intelligence,3.11,No,Business Analyst
AWS,Automation,2.89,No,System Administrator
SQL,Research,3.18,Yes,Business Analyst
Ethical Hacking,Cloud Computing,3.39,No,Cyber Security Analyst
SQL,Data Analytics,3.15,Yes,Product Manager
Power BI,Data Analytics,2.97,No,Business Analyst
HTML,Web Development,2.51,Yes,UI/UX Designer
Linux,Automation,3.33,Yes,DevOps Engineer
Figma,Web Development,3.24,No,UI/UX Designer
TensorFlow,Research,3.65,No,Data Scientist
Power BI,Research,2.89,No,Business Analyst
SQL,Database Management,3.81,No,Full Stack Developer
NumPy,Research,3.97,Yes,Data Scientist
REST APIs,Software Development,3.03,Yes,Flutter Developer
Ethical Hacking,Networking,3.84,No,Cyber Security Analyst
Next.js,UI/UX Design,3.67,Yes,Frontend Developer
Linux,Networking,3.96,No,Cloud Engineer
AWS,Networking,2.74,Yes,System Administrator
NumPy,Automation,3.53,Yes,Machine Learning Engineer
React,Software Development,3.17,No,Mobile App Developer
Azure,Cloud Computing,3.65,No,Cloud Solutions Architect
AWS,Cyber Security,2.92,Yes,Network Engineer
Git,Software Development,3.16,No,Mobile App Developer
Cyber Security,Networking,3.41,Yes,Cyber Security Analyst
Git,Web Development,3.2,No,Software Engineer
Ethical Hacking,Cyber Security,3.44,Yes,Cyber Security Analyst
PyTorch,Machine Learning,3.2,Yes,AI Engineer
Docker,Web Development,2.9,No,QA Engineer
PostgreSQL,Data Analytics,3.78,No,Data Analyst
HTML,Mobile App Development,2.56,No,UI/UX Designer
C++,Automation,3.47,No,Software Engineer
Python,Software Development,3.51,No,QA Engineer
Kubernetes,Networking,3.2,No,Cloud Engineer
GitHub,Web Development,3.8,Yes,Software Engineer
React,Mobile App Development,2.94,No,Mobile App Developer
SQL,Web Development,2.67,Yes,QA Engineer
Pandas,Research,2.8,No,Business Analyst
Firebase,Software Development,3.46,Yes,Flutter Developer
CSS,Software Development,2.78,Yes,Frontend Developer
Excel,Data Analytics,2.85,No,Business Analyst
Excel,Data Science,2.81,Yes,Data Analyst
SQL,Web Development,2.84,Yes,Software Engineer
JavaScript,Automation,3.17,Yes,QA Engineer
Azure,DevOps,3.8,No,Cloud Solutions Architect
AWS,DevOps,3.61,No,Network Engineer
PostgreSQL,Data Science,3.3,No,Business Intelligence Analyst
Cloud Computing,DevOps,3.41,Yes,Cloud Solutions Architect
Git,UI/UX Design,3.7,Yes,Product Manager
MySQL,Database Management,2.82,No,Database Administrator
SQL,Database Management,3.86,No,Database Administrator
Data Analysis,Data Science,3.38,No,Business Intelligence Analyst
CSS,UI/UX Design,3.76,No,UI/UX Designer
Express.js,Database Management,2.99,No,Backend Developer
Python,DevOps,3.56,No,System Administrator
Dart,Software Development,2.62,Yes,Flutter Developer
C++,Web Development,3.17,No,Software Engineer
JavaScript,Mobile App Development,3.07,Yes,Mobile App Developer
Python,Networking,3.28,Yes,Network Engineer
TypeScript,Software Development,3.26,No,Full Stack Developer
Azure,Artificial Intelligence,3.44,No,AI Engineer
AWS,Networking,3.56,Yes,Cloud Engineer
Tableau,Research,3.51,No,Business Analyst
